NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Cauza,Masuri de remediere,viz_name,map_zoom
5.11,DN2L,30+480,30+480,2024-11-08 09:42:00,2025-12-31 23:59:00,VARNITA (VN) - VARNITA (VN),Prabusire podet boltit.,Latime - 3m. Viteza - 50km/h.,DN2L,"['30', '480', '30', '480']"
5.12,DN2L,27+750,27+750,2024-11-08 09:40:00,2025-12-31 23:59:00,VARNITA (VN) - VARNITA (VN),Pod de beton degradat.,Masa - 30t. Viteza - 30km/h.,DN2L,"['27', '750', '27', '750']"
5.13,DN2M,30+853,30+853,2024-11-08 10:04:00,2025-12-31 23:59:00,REGHIU (VN) - REGHIU (VN),Spalarea umpluturii sfertului de con.,Circulatie ingreunata.,DN2M,"['30', '853', '30', '853']"
5.14,DN2N,51+800,51+800,2024-11-08 09:58:00,2025-12-31 23:59:00,JITIA (VN) - JITIA (VN),Prabusire sfert con culee Cl,Latime - 3m. Tonaj - 25t.,DN2N,"['51', '800', '51', '800']"
5.15,DN2N,51+300,51+300,2024-11-08 09:55:00,2025-12-31 23:59:00,JITIA (VN) - JITIA (VN),Surpare parte carosabila.,Latime - 3m. Viteza - 30km/h. Tonaj - 25t.,DN2N,"['51', '300', '51', '300']"
5.16,DN2N,50+400,50+460,2024-11-08 09:54:00,2025-12-31 23:59:00,JITIA (VN) - JITIA (VN),Reactivare alunecare teren.,Circulatie ingreunata.,DN2N,"['50', '400', '50', '460']"
5.17,DN2N,46+800,46+920,2024-11-08 09:52:00,2025-12-31 23:59:00,CHIOJDENI (VN) - CHIOJDENI (VN),Alunecare teren - varianta.,Latime - 3m. Tonaj - 25t.,DN2N,"['46', '800', '46', '920']"
5.18,DN2N,45+190,45+190,2024-11-08 09:50:00,2025-12-31 23:59:00,CHIOJDENI (VN) - CHIOJDENI (VN),Surpare parte carosabila pod.,"Latime - 3,5m.",DN2N,"['45', '190', '45', '190']"
5.19,DN2N,44+453,44+600,2024-11-08 09:47:00,2025-12-31 23:59:00,CHIOJDENI (VN) - CHIOJDENI (VN),Varianta circulatie balast.,Circulatie ingreunata.,DN2N,"['44', '453', '44', '600']"
5.2,DN2R,1+860,1+920,2024-11-08 09:44:00,2025-12-31 23:59:00,VINTILEASCA (VN) - VINTILEASCA (VN),"Alunecare teren, tasare platforma drum.","Latime - 2,5m.",DN2R,"['1', '860', '1', '920']"
5.21,DN57,15+700,24+600,2025-02-28 00:00:00,2025-03-31 16:00:00,ESELNITA (MH) - SVINITA (MH),"Ploi abundente, ebulmenti si viituri care au condus la ruperea drumului.","Pe sectorul de drum DN 57 Km 15+700-28+450 se circula ingreunat pe 1/2 cale, in zona urmatoarelor pozitii kilometrice: - km 15+700 stanga s-a prabusit taluzul de rambleu pana la marginea partii carosabile - km 16+700 s-a prabusit taluzul de rambleu, zidul de sprijin si parapetul de beton - km 19+700 stanga s-a tasat corpul drumului generad crapaturi longitudinale la 2 m de marginea drumului  pe o adancime de 50 cm - 24+600 stanga ,alunecare de teren cu afectare parte carosabila , acostament si parapet de zidarie. Restrictie de viteza de 40 km/h, zona este semnalizata corespunzator. Rugam participantii la trafic sa respecte restrictiile de circulatie, sectorul de drum fiind semnalizat corespunzator.",DN57,"['15', '700', '24', '600']"
5.22,DN57B,4+950,4+950,2023-12-01 21:00:00,2025-05-31 12:00:00,ORAVITA (CS) - ORAVITA (CS),"In urma ploilor abundente, s-a produs o alunecare de teren.",Circulatia rutiera este ingreunata pe 1/2 cale.,DN57B,"['4', '950', '4', '950']"
5.23,DN64,113+035,113+300,2025-02-01 00:00:00,2025-03-31 16:00:00,TROIAN (VL) - ,Lucrare intretinere periodica pod.,"Circulatia rutiera se desfasoara pe 2/4 cale, dirijata prin indicatoare rutiere.",DN64,"['113', '35', '113', '300']"
5.24,DN66A,93+800,93+800,2025-02-01 00:00:00,2025-03-31 16:00:00,CERNA SAT (GJ) - ,Drum rupt.,Circulatia se defasoara pe 1/2 cale . Zona este semnalizata corespunzator .,DN66A,"['93', '800', '93', '800']"
5.25,DN66A,93+050,93+050,2025-02-01 00:00:00,2025-03-31 16:00:00,CERNA SAT (GJ) - ,Drum rupt.,Circulatia se desfasoara pe 1/2 cale. Zona este semnalizata corespunzator.,DN66A,"['93', '50', '93', '50']"
5.26,DN67,129+500,133+000,2025-02-01 00:00:00,2025-03-31 16:00:00,CIUPERCENII DE OLTET (GJ) - ,Tasari la margine.,"Circulatia rutiera se desfasoara ingreunat, pe 1/2 cale. Restrictie de viteza la 50 km/h.",DN67,"['129', '500', '133', '0']"
5.27,DN67,151+170,151+180,2025-02-01 00:00:00,2025-03-31 16:00:00,HOREZU (VL) - ,Alunecare de teren .,Circulatie ingreunata 1/2 cale si prin parcarea adiacenta. Zona este semnalizata corespunzator (alunecarea de teren este activa).,DN67,"['151', '170', '151', '180']"
5.28,DN67B,24+403,24+403,2025-02-01 00:00:00,2025-03-31 16:00:00,FRUMUSEI (GJ) - ,Pod degradat.,Circulatia se desfasoara pe 1/2 cale . Zona este semnalizata corespunzator .,DN67B,"['24', '403', '24', '403']"
5.29,DN67B,91+788,91+828,2025-02-01 00:00:00,2025-03-31 16:00:00,OVESELU (VL) - ,Alunecare de teren cu afectare corp drum.,"Circulatia se desfasoara pe 1/2 cale , semnalizat cu indicatoare rutiere si restrictie viteza de 30 km/h .",DN67B,"['91', '788', '91', '828']"
5.3,DN67B,119+236,119+236,2025-02-01 00:00:00,2025-03-31 16:00:00,DRAGASANI (VL) - POGANU (OT),"Podul peste raul Olt nu prezinta siguranta pentru autovehiculele cu MTMA > 7,5 TO .","Circulati a rutiera se desfasoara pe1/2 cale , dirijata prin semafoare. Ruta ocolitoare pentru autovehiculele cu MTMA > 7,5 TO - DN 64 - DJ 678C - DJ 678 - DN 67B.",DN67B,"['119', '236', '119', '236']"
5.31,DN67B,16+000,17+000,2025-02-08 00:00:00,2025-03-31 16:00:00,CARBUNESTI-SAT (GJ) - LICURICI (GJ),Alunecare de teren .,"Circulatia rutiera se desfasoara ingreunat pe 1/2 cale, cu semnalizare specifica.",DN67B,"['16', '0', '17', '0']"
5.32,DN67D,70+790,70+790,2025-02-01 00:00:00,2025-03-31 16:00:00,GODEANU (GODEANU) (MH) - ,Zid de sprijin rupt.,Circulatia se desfasoara pe 1/2 cale dirijata cu piloti de circulatie si semafoare.,DN67D,"['70', '790', '70', '790']"
5.33,DN67D,58+800,58+800,2025-02-01 00:00:00,2025-03-31 16:00:00,OBARSIA-CLOSANI (MH) - GODEANU (GODEANU) (MH),Degradare terasament si  parapet.,Circulatia se desfasoara pe 1/2 cale . Zona este semnalizata corespunzator .,DN67D,"['58', '800', '58', '800']"
5.34,DN6B,24+183,24+183,2025-02-11 00:00:00,2025-03-31 16:00:00,NEGOIESTI (DJ) - ,Pod degradat.,"Circulatia rutiera se desfasoara ingreunat pe 1/2 cale, dirijata prin indicatoare rutiere,  iar accesul autovehiculelor cu MTMA > 25 to este interzis.",DN6B,"['24', '183', '24', '183']"
5.35,DN6B,43+100,43+100,2025-02-07 00:00:00,2025-03-31 16:00:00,STOINA (GJ) - ,Podet degradat.,Circulatia rutiera se defasoara ingreunat pe 1/2 cale.,DN6B,"['43', '100', '43', '100']"
5.36,DN7,228+850,228+900,2025-02-28 00:00:00,2025-03-31 16:00:00,CAINENII MARI (VL) - ,Datorita caderilor de pietre pentru siguranta participantilor la trafic pe sectorul de drum mai sus mentionat au fost instalate masuri de semnalizare corespunzatoare conform schemei de semnalizare B1. Circulatia se desfasoara ingreunat.,"Latimea benzii de circulatie pe sensul de mers Rm. Valcea - Sibiu este de 3,73 m , iar latimea benzi de circulatie pe sensul de mers Sibiu - Rm. Valcea este de 3,25.Circulatia rutiera se desfasoara normal pe sensul Rm. Valcea - Sibiu (avand latimea benzii de 3,75m) , si ingreunat pe sensul Sibiu - Rm. Valcea.Sectorul de drum mai sus mentionat este semnalizat conform schemei de semnalizare B1.",DN7,"['228', '850', '228', '900']"
5.37,DN7,162+390,162+460,2025-02-01 00:00:00,2025-03-31 16:00:00,MILCOIU (VL) - ,Alunecare de teren activa.,"Circulatia rutiera se desfasoara pe ambele sensuri de mers , cu precizarea ca pe sensul Rm. Valcea - Pitesti circulatia se desfasoara pe o singura banda din doua. Au fost montate indicatoare rutiere de restrictii de circulatie conform schemei de semnalizare C1.",DN7,"['162', '390', '162', '460']"
5.38,DN7CC,3+150,3+150,2025-02-06 00:00:00,2025-03-31 16:00:00,JIBLEA NOUA (VL) - PAUSA (VL),Alunecare de teren,"Circulatia se desfasoara alternativ pe 1/2 cale cu restictionare pe sensul Sibiu - Rm. Valcea, dirijata cu semafoare si semnalizata cu balize, indicatoare rutiere si lampi cu iluminare intermitenta.",DN7CC,"['3', '150', '3', '150']"
